cphdID,reporterID,polygonID,date,type,dateType,value,notes
inspq_prov_qc_hlthreg_capitale-nationale_conf_report_2020-01-23,inspq,prov_qc_hlthreg_capitale-nationale,2020-01-23,conf,report,0.0,
inspq_prov_qc_hlthreg_capitale-nationale_conf_report_2020-01-24,inspq,prov_qc_hlthreg_capitale-nationale,2020-01-24,conf,report,0.0,
inspq_prov_qc_hlthreg_capitale-nationale_conf_report_2020-01-25,inspq,prov_qc_hlthreg_capitale-nationale,2020-01-25,conf,report,0.0,
inspq_prov_qc_hlthreg_capitale-nationale_conf_report_2020-01-26,inspq,prov_qc_hlthreg_capitale-nationale,2020-01-26,conf,report,0.0,
inspq_prov_qc_hlthreg_capitale-nationale_conf_report_2020-01-27,inspq,prov_qc_hlthreg_capitale-nationale,2020-01-27,conf,report,0.0,
inspq_prov_qc_hlthreg_capitale-nationale_conf_report_2020-01-28,inspq,prov_qc_hlthreg_capitale-nationale,2020-01-28,conf,report,0.0,
inspq_prov_qc_hlthreg_capitale-nationale_conf_report_2020-01-29,inspq,prov_qc_hlthreg_capitale-nationale,2020-01-29,conf,report,0.0,
inspq_prov_qc_hlthreg_capitale-nationale_conf_report_2020-01-30,inspq,prov_qc_hlthreg_capitale-nationale,2020-01-30,conf,report,0.0,
inspq_prov_qc_hlthreg_capitale-nationale_conf_report_2020-01-31,inspq,prov_qc_hlthreg_capitale-nationale,2020-01-31,conf,report,0.0,
inspq_prov_qc_hlthreg_capitale-nationale_conf_report_2020-02-01,inspq,prov_qc_hlthreg_capitale-nationale,2020-02-01,conf,report,0.0,
inspq_prov_qc_hlthreg_capitale-nationale_conf_report_2020-02-02,inspq,prov_qc_hlthreg_capitale-nationale,2020-02-02,conf,report,0.0,
inspq_prov_qc_hlthreg_capitale-nationale_conf_report_2020-02-03,inspq,prov_qc_hlthreg_capitale-nationale,2020-02-03,conf,report,0.0,
inspq_prov_qc_hlthreg_capitale-nationale_conf_report_2020-02-04,inspq,prov_qc_hlthreg_capitale-nationale,2020-02-04,conf,report,0.0,
inspq_prov_qc_hlthreg_capitale-nationale_conf_report_2020-02-05,inspq,prov_qc_hlthreg_capitale-nationale,2020-02-05,conf,report,0.0,
inspq_prov_qc_hlthreg_capitale-nationale_conf_report_2020-02-06,inspq,prov_qc_hlthreg_capitale-nationale,2020-02-06,conf,report,0.0,
inspq_prov_qc_hlthreg_capitale-nationale_conf_report_2020-02-07,inspq,prov_qc_hlthreg_capitale-nationale,2020-02-07,conf,report,0.0,
inspq_prov_qc_hlthreg_capitale-nationale_conf_report_2020-02-08,inspq,prov_qc_hlthreg_capitale-nationale,2020-02-08,conf,report,0.0,
inspq_prov_qc_hlthreg_capitale-nationale_conf_report_2020-02-09,inspq,prov_qc_hlthreg_capitale-nationale,2020-02-09,conf,report,0.0,
inspq_prov_qc_hlthreg_capitale-nationale_conf_report_2020-02-10,inspq,prov_qc_hlthreg_capitale-nationale,2020-02-10,conf,report,0.0,
inspq_prov_qc_hlthreg_capitale-nationale_conf_report_2020-02-11,inspq,prov_qc_hlthreg_capitale-nationale,2020-02-11,conf,report,0.0,
inspq_prov_qc_hlthreg_capitale-nationale_conf_report_2020-02-12,inspq,prov_qc_hlthreg_capitale-nationale,2020-02-12,conf,report,0.0,
inspq_prov_qc_hlthreg_capitale-nationale_conf_report_2020-02-13,inspq,prov_qc_hlthreg_capitale-nationale,2020-02-13,conf,report,0.0,
inspq_prov_qc_hlthreg_capitale-nationale_conf_report_2020-02-14,inspq,prov_qc_hlthreg_capitale-nationale,2020-02-14,conf,report,0.0,
inspq_prov_qc_hlthreg_capitale-nationale_conf_report_2020-02-15,inspq,prov_qc_hlthreg_capitale-nationale,2020-02-15,conf,report,0.0,
inspq_prov_qc_hlthreg_capitale-nationale_conf_report_2020-02-16,inspq,prov_qc_hlthreg_capitale-nationale,2020-02-16,conf,report,0.0,
inspq_prov_qc_hlthreg_capitale-nationale_conf_report_2020-02-17,inspq,prov_qc_hlthreg_capitale-nationale,2020-02-17,conf,report,0.0,
inspq_prov_qc_hlthreg_capitale-nationale_conf_report_2020-02-18,inspq,prov_qc_hlthreg_capitale-nationale,2020-02-18,conf,report,0.0,
inspq_prov_qc_hlthreg_capitale-nationale_conf_report_2020-02-19,inspq,prov_qc_hlthreg_capitale-nationale,2020-02-19,conf,report,0.0,
inspq_prov_qc_hlthreg_capitale-nationale_conf_report_2020-02-20,inspq,prov_qc_hlthreg_capitale-nationale,2020-02-20,conf,report,0.0,
inspq_prov_qc_hlthreg_capitale-nationale_conf_report_2020-02-21,inspq,prov_qc_hlthreg_capitale-nationale,2020-02-21,conf,report,0.0,
inspq_prov_qc_hlthreg_capitale-nationale_conf_report_2020-02-22,inspq,prov_qc_hlthreg_capitale-nationale,2020-02-22,conf,report,0.0,
inspq_prov_qc_hlthreg_capitale-nationale_conf_report_2020-02-23,inspq,prov_qc_hlthreg_capitale-nationale,2020-02-23,conf,report,0.0,
inspq_prov_qc_hlthreg_capitale-nationale_conf_report_2020-02-24,inspq,prov_qc_hlthreg_capitale-nationale,2020-02-24,conf,report,0.0,
inspq_prov_qc_hlthreg_capitale-nationale_conf_report_2020-02-25,inspq,prov_qc_hlthreg_capitale-nationale,2020-02-25,conf,report,0.0,
inspq_prov_qc_hlthreg_capitale-nationale_conf_report_2020-02-26,inspq,prov_qc_hlthreg_capitale-nationale,2020-02-26,conf,report,0.0,
inspq_prov_qc_hlthreg_capitale-nationale_conf_report_2020-02-27,inspq,prov_qc_hlthreg_capitale-nationale,2020-02-27,conf,report,0.0,
inspq_prov_qc_hlthreg_capitale-nationale_conf_report_2020-02-28,inspq,prov_qc_hlthreg_capitale-nationale,2020-02-28,conf,report,1.0,
inspq_prov_qc_hlthreg_capitale-nationale_conf_report_2020-02-29,inspq,prov_qc_hlthreg_capitale-nationale,2020-02-29,conf,report,0.0,
inspq_prov_qc_hlthreg_capitale-nationale_conf_report_2020-03-01,inspq,prov_qc_hlthreg_capitale-nationale,2020-03-01,conf,report,0.0,
inspq_prov_qc_hlthreg_capitale-nationale_conf_report_2020-03-02,inspq,prov_qc_hlthreg_capitale-nationale,2020-03-02,conf,report,0.0,
inspq_prov_qc_hlthreg_capitale-nationale_conf_report_2020-03-03,inspq,prov_qc_hlthreg_capitale-nationale,2020-03-03,conf,report,0.0,
inspq_prov_qc_hlthreg_capitale-nationale_conf_report_2020-03-04,inspq,prov_qc_hlthreg_capitale-nationale,2020-03-04,conf,report,0.0,
inspq_prov_qc_hlthreg_capitale-nationale_conf_report_2020-03-05,inspq,prov_qc_hlthreg_capitale-nationale,2020-03-05,conf,report,0.0,
inspq_prov_qc_hlthreg_capitale-nationale_conf_report_2020-03-06,inspq,prov_qc_hlthreg_capitale-nationale,2020-03-06,conf,report,0.0,
inspq_prov_qc_hlthreg_capitale-nationale_conf_report_2020-03-07,inspq,prov_qc_hlthreg_capitale-nationale,2020-03-07,conf,report,0.0,
inspq_prov_qc_hlthreg_capitale-nationale_conf_report_2020-03-08,inspq,prov_qc_hlthreg_capitale-nationale,2020-03-08,conf,report,0.0,
inspq_prov_qc_hlthreg_capitale-nationale_conf_report_2020-03-09,inspq,prov_qc_hlthreg_capitale-nationale,2020-03-09,conf,report,0.0,
inspq_prov_qc_hlthreg_capitale-nationale_conf_report_2020-03-10,inspq,prov_qc_hlthreg_capitale-nationale,2020-03-10,conf,report,0.0,
inspq_prov_qc_hlthreg_capitale-nationale_conf_report_2020-03-11,inspq,prov_qc_hlthreg_capitale-nationale,2020-03-11,conf,report,0.0,
inspq_prov_qc_hlthreg_capitale-nationale_conf_report_2020-03-12,inspq,prov_qc_hlthreg_capitale-nationale,2020-03-12,conf,report,0.0,
inspq_prov_qc_hlthreg_capitale-nationale_conf_report_2020-03-13,inspq,prov_qc_hlthreg_capitale-nationale,2020-03-13,conf,report,0.0,
inspq_prov_qc_hlthreg_capitale-nationale_conf_report_2020-03-14,inspq,prov_qc_hlthreg_capitale-nationale,2020-03-14,conf,report,2.0,
inspq_prov_qc_hlthreg_capitale-nationale_conf_report_2020-03-15,inspq,prov_qc_hlthreg_capitale-nationale,2020-03-15,conf,report,3.0,
inspq_prov_qc_hlthreg_capitale-nationale_conf_report_2020-03-16,inspq,prov_qc_hlthreg_capitale-nationale,2020-03-16,conf,report,0.0,
inspq_prov_qc_hlthreg_capitale-nationale_conf_report_2020-03-17,inspq,prov_qc_hlthreg_capitale-nationale,2020-03-17,conf,report,3.0,
inspq_prov_qc_hlthreg_capitale-nationale_conf_report_2020-03-18,inspq,prov_qc_hlthreg_capitale-nationale,2020-03-18,conf,report,5.0,
inspq_prov_qc_hlthreg_capitale-nationale_conf_report_2020-03-19,inspq,prov_qc_hlthreg_capitale-nationale,2020-03-19,conf,report,4.0,
inspq_prov_qc_hlthreg_capitale-nationale_conf_report_2020-03-20,inspq,prov_qc_hlthreg_capitale-nationale,2020-03-20,conf,report,6.0,
inspq_prov_qc_hlthreg_capitale-nationale_conf_report_2020-03-21,inspq,prov_qc_hlthreg_capitale-nationale,2020-03-21,conf,report,16.0,
inspq_prov_qc_hlthreg_capitale-nationale_conf_report_2020-03-22,inspq,prov_qc_hlthreg_capitale-nationale,2020-03-22,conf,report,25.0,
inspq_prov_qc_hlthreg_capitale-nationale_conf_report_2020-03-23,inspq,prov_qc_hlthreg_capitale-nationale,2020-03-23,conf,report,28.0,
inspq_prov_qc_hlthreg_capitale-nationale_conf_report_2020-03-24,inspq,prov_qc_hlthreg_capitale-nationale,2020-03-24,conf,report,17.0,
inspq_prov_qc_hlthreg_capitale-nationale_conf_report_2020-03-25,inspq,prov_qc_hlthreg_capitale-nationale,2020-03-25,conf,report,11.0,
inspq_prov_qc_hlthreg_capitale-nationale_conf_report_2020-03-26,inspq,prov_qc_hlthreg_capitale-nationale,2020-03-26,conf,report,11.0,
inspq_prov_qc_hlthreg_capitale-nationale_conf_report_2020-03-27,inspq,prov_qc_hlthreg_capitale-nationale,2020-03-27,conf,report,20.0,
inspq_prov_qc_hlthreg_capitale-nationale_conf_report_2020-03-28,inspq,prov_qc_hlthreg_capitale-nationale,2020-03-28,conf,report,19.0,
inspq_prov_qc_hlthreg_capitale-nationale_conf_report_2020-03-29,inspq,prov_qc_hlthreg_capitale-nationale,2020-03-29,conf,report,27.0,
inspq_prov_qc_hlthreg_capitale-nationale_conf_report_2020-03-30,inspq,prov_qc_hlthreg_capitale-nationale,2020-03-30,conf,report,26.0,
inspq_prov_qc_hlthreg_capitale-nationale_conf_report_2020-03-31,inspq,prov_qc_hlthreg_capitale-nationale,2020-03-31,conf,report,28.0,
inspq_prov_qc_hlthreg_capitale-nationale_conf_report_2020-04-01,inspq,prov_qc_hlthreg_capitale-nationale,2020-04-01,conf,report,39.0,
inspq_prov_qc_hlthreg_capitale-nationale_conf_report_2020-04-02,inspq,prov_qc_hlthreg_capitale-nationale,2020-04-02,conf,report,19.0,
inspq_prov_qc_hlthreg_capitale-nationale_conf_report_2020-04-03,inspq,prov_qc_hlthreg_capitale-nationale,2020-04-03,conf,report,25.0,
inspq_prov_qc_hlthreg_capitale-nationale_conf_report_2020-04-04,inspq,prov_qc_hlthreg_capitale-nationale,2020-04-04,conf,report,13.0,
