wwMeasureID,reporterID,sampleID,labID,assayMethodID,analysisDate,reportDate,fractionAnalyzed,type,value,unit,aggregation,index,qualityFlag,notes
qc_01_cptp24h_rawww_2021-01-15_1_2021-02-18_wqph_1,frigon_lab_betty,qc_01_cptp24h_rawww_2021-01-15_1,frigon_lab,,2021-02-18,,mixed,wqph,7.02,ph,single,1,False,
qc_02_cptp24h_rawww_2021-01-15_1_2021-02-18_wqph_1,frigon_lab_betty,qc_02_cptp24h_rawww_2021-01-15_1,frigon_lab,,2021-02-18,,mixed,wqph,7.02,ph,single,1,False,
qc_01_cptp24h_rawww_2021-01-16_1_2021-02-18_wqph_1,frigon_lab_betty,qc_01_cptp24h_rawww_2021-01-16_1,frigon_lab,,2021-02-18,,mixed,wqph,7.13,ph,single,1,False,
qc_02_cptp24h_rawww_2021-01-16_1_2021-02-18_wqph_1,frigon_lab_betty,qc_02_cptp24h_rawww_2021-01-16_1,frigon_lab,,2021-02-18,,mixed,wqph,7.08,ph,single,1,False,
qc_01_cptp24h_rawww_2021-01-17_1_2021-02-18_wqph_1,frigon_lab_betty,qc_01_cptp24h_rawww_2021-01-17_1,frigon_lab,,2021-02-18,,mixed,wqph,7.27,ph,single,1,False,
qc_02_cptp24h_rawww_2021-01-17_1_2021-02-18_wqph_1,frigon_lab_betty,qc_02_cptp24h_rawww_2021-01-17_1,frigon_lab,,2021-02-18,,mixed,wqph,7.24,ph,single,1,False,
qc_01_cptp24h_rawww_2021-01-18_1_2021-02-20_wqph_1,frigon_lab_betty,qc_01_cptp24h_rawww_2021-01-18_1,frigon_lab,,2021-02-20,,mixed,wqph,7.46,ph,single,1,False,
qc_02_cptp24h_rawww_2021-01-18_1_2021-02-20_wqph_1,frigon_lab_betty,qc_02_cptp24h_rawww_2021-01-18_1,frigon_lab,,2021-02-20,,mixed,wqph,7.3,ph,single,1,False,
qc_01_cptp24h_rawww_2021-01-19_1_2021-02-20_wqph_1,frigon_lab_betty,qc_01_cptp24h_rawww_2021-01-19_1,frigon_lab,,2021-02-20,,mixed,wqph,6.79,ph,single,1,False,
qc_02_cptp24h_rawww_2021-01-19_1_2021-02-20_wqph_1,frigon_lab_betty,qc_02_cptp24h_rawww_2021-01-19_1,frigon_lab,,2021-02-20,,mixed,wqph,7.31,ph,single,1,False,
